run,step,n_gen,fid,jsd
20250707-055456,104999,4,1.8413526311328143,0.6515357601264187
20250707-055456,105999,4,1.9900722936551651,0.6666019403335193
20250707-055456,106999,4,1.8576524354026482,0.6637517327608111
20250707-055456,107999,4,1.9026778053623792,0.6716564244988543
20250707-055456,108999,4,2.021338107870611,0.6647846105429676
20250707-055456,109999,4,1.9626418826714906,0.663195345937886
20250707-055456,110999,4,1.8988948014958689,0.6696563907761142
20250707-055456,111999,4,1.860153207945023,0.6678924463723194
20250707-055456,112999,4,1.902419472694642,0.6547101462563967
20250707-055456,113999,4,1.9558761808794014,0.6689414421766002
20250707-055456,114999,4,1.8822758227658378,0.6616258525800478
20250707-055456,115999,4,1.890562409193928,0.6626153278495062
20250707-055456,116999,4,1.9549555552033222,0.6678924463723194
20250707-055456,117999,4,1.8273859451249332,0.6644404793076497
20250707-055456,118999,4,2.068833883107001,0.6480642135460366
20250707-055456,119999,4,1.9268458472426613,0.6627699560345083
20250707-055456,120999,4,1.9535809516573963,0.6667058325038553
20250707-055456,121999,4,1.8253422275191087,0.6637819916865356
20250707-055456,122999,4,1.8877764030131163,0.6653682508048846
20250707-055456,123999,4,1.8887098856526559,0.6574865402143532
20250707-055456,124999,4,1.974842227053309,0.6607422289086113
20250707-055456,125999,4,1.8550520447981134,0.6494441404171205
20250707-055456,126999,4,1.9087738233252012,0.6524248430287565
20250707-055456,127999,4,1.9553048449976702,0.6648002387100258
20250707-055456,128999,4,1.9755775613142177,0.6577191224953611
20250707-055456,129999,4,1.826791564066306,0.654870189326228
20250707-055456,130999,4,1.938963846450103,0.6560982781514308
20250707-055456,131999,4,1.9858902614101543,0.6550945530090796
20250707-055456,132999,4,1.97747812195378,0.6592274462394164
20250707-055456,133999,4,1.9245566019495561,0.6703016930510728
20250707-055456,134999,4,1.8891708478207168,0.6664114261494938
20250707-055456,135999,4,1.8680885393315014,0.6815608738339901
20250707-055456,136999,4,1.8127878810789575,0.6613260512210617
20250707-055456,137999,4,1.8665160097417748,0.6712267454042407
20250707-055456,138999,4,1.8259048274592062,0.6537064211140453
20250707-055456,139999,4,1.9221472659363956,0.661279973705263
20250707-055456,140999,4,1.845640020721531,0.6712267454042407
20250707-055456,141999,4,1.8244357557001984,0.6762500840695136
20250707-055456,142999,4,2.1051264607006455,0.6726374628098415
20250707-055456,143999,4,1.924277286204264,0.6525847559306996
20250707-055456,144999,4,1.87952349345557,0.6572871624127548
20250707-055456,145999,4,1.850591818563035,0.6722533569639069
20250707-055456,146999,4,1.8480667860204179,0.6712267454042407
20250707-055456,147999,4,1.8874159385281108,0.6684400333841894
20250707-055456,148999,4,1.876847904275473,0.647425305440635
20250707-055456,149999,4,1.9133312770997195,0.6613260512210617
20250707-055456,150999,4,1.913651873140964,0.6644404793076497
20250707-055456,151999,4,1.9366522593931803,0.6605992410203815
20250707-055456,152999,4,1.9161809107200236,0.6681429022781232
20250707-055456,153999,4,1.9305809285991837,0.6710906335794491
20250707-055456,154999,4,2.006660550665558,0.6721076427401245
