id,z1,z2
20250706-154628_step080000_idx2,-3.2529938,5.2425385
20250706-154628_step080000_idx3,-3.4161985,5.0993357
20250706-154628_step081000_idx0,3.1824112,-1.5613358
20250706-154628_step081000_idx1,-3.3680484,5.4282284
20250706-154628_step081000_idx2,-2.962523,4.983244
20250706-154628_step081000_idx3,-3.1943142,5.2959967
20250706-154628_step082000_idx0,-3.1912837,5.3943653
20250706-154628_step082000_idx1,-3.290943,5.405514
20250706-154628_step082000_idx2,-3.1914053,5.315525
20250706-154628_step082000_idx3,-3.3904634,5.184953
20250706-154628_step083000_idx0,-0.5776725,2.5913775
20250706-154628_step083000_idx1,2.706288,-2.230445
20250706-154628_step083000_idx2,-3.1877916,5.277901
20250706-154628_step083000_idx3,-3.3601692,5.1804852
20250706-154628_step084000_idx0,-1.4462662,3.3826382
20250706-154628_step084000_idx1,-3.1981916,5.335766
20250706-154628_step084000_idx2,0.9298106,0.059221525
20250706-154628_step084000_idx3,-3.1891296,5.2650003
20250706-154628_step085000_idx0,-3.2891984,4.8765826
20250706-154628_step085000_idx1,-3.4539294,5.3002377
20250706-154628_step085000_idx2,-2.104309,3.6245582
20250706-154628_step085000_idx3,-3.4852388,5.1963897
20250706-154628_step086000_idx0,-3.3451798,5.0784364
20250706-154628_step086000_idx1,-3.4176686,5.1424885
20250706-154628_step086000_idx2,-3.4073033,5.2355185
20250706-154628_step086000_idx3,-3.357105,5.0073695
20250706-154628_step087000_idx0,-3.31745,5.159393
20250706-154628_step087000_idx1,-3.2429001,5.1014895
20250706-154628_step087000_idx2,1.998688,0.5318843
20250706-154628_step087000_idx3,-3.5143747,5.104886
20250706-154628_step088000_idx0,1.4487662,2.0440545
20250706-154628_step088000_idx1,-3.0958402,5.158031
20250706-154628_step088000_idx2,-3.1809967,5.4835157
20250706-154628_step088000_idx3,-3.1941273,5.3998055
20250706-154628_step089000_idx0,0.20631225,2.3003764
20250706-154628_step089000_idx1,-3.283744,5.1626267
20250706-154628_step089000_idx2,-3.2547922,5.2882357
20250706-154628_step089000_idx3,-3.246657,4.9721074
20250706-154628_step090000_idx0,-3.2702534,5.3732266
20250706-154628_step090000_idx1,-1.9906231,3.8252075
20250706-154628_step090000_idx2,-3.3390632,5.1353874
20250706-154628_step090000_idx3,-3.301417,5.3720903
20250706-154628_step091000_idx0,-3.0796995,5.2078953
20250706-154628_step091000_idx1,-3.1940553,5.1881394
